#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
PlusBuildings.001.desc;An §YEarth Hillfort§! has been built in §Y[From.GetName]§!.;Un §Yfort de colline en terre§! a été construit §Y[From.GetName]§!.;§YSchanze aus Erde§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido un §Ycastro de tierra§! en §Y[From.GetName]§!.;x
PlusBuildings.002.desc;A §YWooden Hillfort§! has been built in §Y[From.GetName]§!.;Un §Yfort de colline en bois§! a été construit §Y[From.GetName]§!.;§YSchanze aus Holz§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido un §Ycastro de madera§! en §Y[From.GetName]§!.;x
PlusBuildings.003.desc;A §YReinforced Woolden Hillfort§! has been built in §Y[From.GetName]§!.;Un §Yfort de colline en bois fortifié§! a été construit §Y[From.GetName]§!.;§YVerstärkte Schanze aus Holz§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido un §Ycastro de madera reforzado§! en §Y[From.GetName]§!.;x
PlusBuildings.004.desc;A §YStone Hillfort§! has been built in §Y[From.GetName]§!.;Un §Yfort de colline en pierre§! a été construit §Y[From.GetName]§!.;§YSchanze aus Stein§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido un §Ycastro de piedra§! en §Y[From.GetName]§!.;x
PlusBuildings.005.desc;A §YReinforced Stone Hillfort§! has been built in §Y[From.GetName]§!.;Un §Yfort de colline en pierre fortifié§! a été construit §Y[From.GetName]§!.;§Yverstärkte Schanze aus Stein§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido un §Ycastro de piedra reforzado§! en §Y[From.GetName]§!.;x
PlusBuildings.006.desc;A §YLog Palisade§! has been built in §Y[From.GetName]§!.;Une §Ypalissade de rondins§! a étée construite §Y[From.GetName]§!.;§YLogpalisade§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido una §Yempalizada de troncos§! en §Y[From.GetName]§!.;x
PlusBuildings.007.desc;A §YReinforced Log Palisade§! has been built in §Y[From.GetName]§!.;Une §Ypalissade de rondins renforcée§! a étée construite §Y[From.GetName]§!.;Eine §Yverstärkte Logpalisade§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido una §Yempalizada de troncos§! en §Y[From.GetName]§!.;x
PlusBuildings.008.desc;A §YBasic Stone Wall§! has been built in §Y[From.GetName]§!.;Un §Ymur en pierre basale§! a été construit §Y[From.GetName]§!.;Ein §YBasale Steinmauer§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido un §Yempalizada de troncos§! en §Y[From.GetName]§!.;x
PlusBuildings.009.desc;A §YReinforced Stone Wall§! has been built in §Y[From.GetName]§!.;Un §Ymur en pierre renforcé§! a été construit §Y[From.GetName]§!.;Ein §Yverstärkte Steinmauer§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido un §Ymuro de piedra reforzada§! en §Y[From.GetName]§!.;x
PlusBuildings.010.desc;A §YLarge Stone Wall§! has been built in §Y[From.GetName]§!.;Un §Ygrand mur en pierre§! a été construit §Y[From.GetName]§!.;Ein §Ygroße Steinmauer§! wurde in §Y[From.GetName]§! gebaut.;;Se ha construido un §Ygran muro de piedra§! en §Y[From.GetName]§!.;x
